,date_occured,time_occured,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude
25812,1960-02-01,23:00,hartwell,ga,us,cigar,45,approx 30 to 45 seconds,My father explained an event of a large cigar-shaped object in perfect flight,2005-04-16,34.3527778,-82.93222220000001
25813,1966-02-01,01:00,randolph,oh,us,oval,10,five to ten seconds,extremely fast UFO stopping dead still in mid air with two smaller similar UFO&#39s following t,2008-08-12,41.0327778,-81.24861109999999
25814,1967-02-01,00:15,fort bliss,tx,,disk,300,5+ minutes,On an evening in February&#441967 at 12;15am a friend and I were walking back to our billets from across the base at Ft. Bliss on a saturd,2000-12-02,31.812438,-106.42132099999999
25815,1971-02-01,18:30,waverly hall,ga,us,circle,3000,45-50 minutes,saw bright circular object almosr directly overhead and moving down to hover 200 yds to our right and about 100 ft above ground. Ist th,1998-06-18,32.6833333,-84.7383333
25816,1971-02-01,19:00,gorham,nh,us,light,300,5 minutes,Bright lite seen moving eraticaly over mountains with no noise.,2005-09-02,44.3877778,-71.17361109999999
25817,1971-02-01,20:00,pacific ocean,,,light,60,one minute,I was in the navy in 1971 on a recovery mission aboard the uss new orleans LPH 11 we recovered apollo 14 the apollo space craft was abo,2005-12-16,-8.783195,-124.508523
25818,1973-02-01,22:00,honolulu,hi,us,sphere,300,5 minutes,I was standing on the shore looking out towards the water when I saw a blue sphere coming toward the shore . It was at about a 45 degr,2008-10-31,21.3069444,-157.8583333
25819,1973-02-01,23:00,port sulphur,la,us,circle,3,3 seconds,Drag Racing UFO&#39s,2004-10-27,29.4802778,-89.6938889
25820,1978-02-01,21:00,perth (western australia),,au,sphere,120,2 minutes,Bright orange glow. Stationary.,1999-01-28,-31.95224,115.861397
25821,1978-02-01,22:00,dublin,nh,us,triangle,1200,15-20 min,I was with five friends at prep school in Dublin NH (Dublin School a private school) we were on the &quot;Upper FIeld&quot; which was a soccer fi,2000-12-09,42.9075000,-72.0630556
25822,1978-02-01,24:00,detroit (metro area),mi,us,,5263200,1-2 months,Detroit UFO Flap of February 1978,2007-04-27,42.3313889,-83.0458333
25823,1979-02-01,02:30,lake arrowhead,ca,us,circle,180,3 min,My husband&#44 3 children&#44 and I moved to LK Arrowhead in 1971. We were both Fine Artists. We wanted to get away from Los Angeles&#44 the sch,2005-04-16,34.2483333,-117.18833329999998
25824,1982-02-01,13:00,cape hatteras,nc,,circle,300,5mins,Hi I have reported this before from the US Coast Guard ship Chilula. I just don&#39t understand why you guys haven&#39t gotten in touch with,2007-08-07,35.24804,-75.539315
25825,1982-02-01,22:00,mt. palomar,ca,,unknown,300,five minutes,High altitude light moving E-W&#44 stops&#44 loiters&#44 makes a 90 degree turn&#44 and accellerates at lightening speed out of the atmosph,2007-10-08,33.35625,-116.86493200000001
25826,1984-02-01,21:00,columbia/denmark (between; on us 321),sc,,unknown,60,~1 minute,Large object with lights at tree top level.,2013-07-03,33.985138,-81.038162
25827,1985-02-01,22:30,portland,or,us,light,900,15 mins,multiple points of light hovering? over the west hills of Portland that could disapear one at a time while I was watching them,2001-08-05,45.5236111,-122.675
25828,1987-02-01,14:00,lucas,tx,us,other,120,2 minutes,Car in the clouds.,2013-12-02,33.0841667,-96.57638890000001
25829,1989-02-01,12:00,waldorf,md,us,oval,3600,1 hour,very large oval -mushroom shaped metallic object&#44moving up and down very fast&#44 then up close moving very slow&#44with a tube looking obj,2010-02-14,38.6244444,-76.9394444
26031,1969-02-12,23:30,wildflecken (germany),,de,cigar,300,5 min.,During a training excerise @ the US Army training center @ Wildflecken &#44germany;at appx. 23:30 hours&#44 at an elevation appx.8k ft. alt.,2001-03-06,50.366667,9.916667
